,Name,Status,Constituency name,Constituency size,Number of electors,1-Employees' salaries,2-Service Contracts,3-Travel,Member,Designated traveller,Dependants,Employees,Member's accommodation expenses,Member's per diem expenses,Member's secondary residence expenses,4-Hospitality,5-Gifts,6-Advertising,7-Printing,Householders,Ten percenters,Other printing related expenses,8-Offices,"Constituency office leases, insurance and utilities","Furniture, furnishing and equipment purchases",Equipment rentals,Informatics and telecommunication equipment purchases,Telecommunication services,Repairs and maintenance,Postage and courier services,Materials and supplies,Training,Total
0,"Aboultaif,Ziad",Active,Edmonton Manning,158km²,"89,968","53,194.10",500.00,,956.20,-,-,-,-,-,"8,517.32",-,-,798.33,,-,-,-,,"9,558.32",-,-,44.99,481.48,-,-,49.50,-,"74,100.24"
1,"Aitchison,Scott",Active,Parry Sound—Muskoka,"14,402km²","83,362","51,822.64",-,,674.82,-,-,-,-,322.01,676.79,-,-,590.00,,-,-,-,,"16,000.00",-,-,134.97,"1,183.58",338.00,-,120.00,-,"71,862.81"
2,"Albas,Dan",Active,Central Okanagan—Similkameen—Nicola,"16,208km²","95,597","66,389.21","1,264.30",,"1,923.72",-,-,-,-,"1,671.16","4,657.53",127.86,-,"7,765.22",,-,-,-,,"10,545.99",-,-,-,951.83,-,8.55,822.52,13.82,"96,141.71"
3,"Alghabra,Hon. Omar",Active,Mississauga Centre,24km²,"87,888","50,896.13",284.15,,913.72,-,-,-,-,786.43,"3,259.97",-,-,-,,-,"9,311.59",600.00,,"13,400.06",125.00,391.00,"4,059.99","4,368.53",529.81,652.61,452.78,69.10,"90,100.87"
4,"Alleslev,Leona",Active,Aurora—Oak Ridges—Richmond Hill,100km²,"83,340","34,508.90",942.28,,410.22,323.52,-,-,-,294.91,"7,876.17",-,-,"5,946.22",,-,-,-,,"8,863.35",-,201.95,-,525.54,-,-,-,13.82,"59,906.88"
5,"Allison,Dean",Active,Niagara West,"1,057km²","74,983","52,294.11",325.00,,"2,280.15","2,256.74",-,-,-,"1,277.94","6,892.03",-,-,"4,053.50",,"4,971.18",-,-,,"13,556.26",-,500.50,"2,997.39","1,155.00",-,85.34,177.84,-,"92,822.98"
6,"Amos,William",Active,Pontiac,"30,586km²","92,341","54,869.69",100.00,,-,-,-,-,-,-,-,-,-,"6,297.19",,-,-,-,,"12,749.68",-,-,817.29,"2,750.55",698.81,-,-,-,"78,283.21"
7,"Anand,Hon. Anita",Active,Oakville,83km²,"90,334","40,075.83",300.00,,-,-,-,-,-,-,"10,000.00",-,-,250.00,,-,-,-,,"14,400.00",-,-,-,785.80,360.81,-,198.00,-,"66,370.44"
8,"Anandasangaree,Gary",Active,Scarborough—Rouge Park,57km²,"77,449","42,870.36","4,975.00",,399.74,-,-,-,-,-,"9,150.41",880.00,87.95,"1,120.00",,-,"3,205.00",-,,"15,600.00",546.29,-,334.27,350.62,360.81,779.72,238.46,-,"80,898.63"
9,"Angus,Charlie",Active,Timmins—James Bay,"251,599km²","63,903","52,136.50","4,455.90",,959.40,-,-,231.54,-,688.12,"4,498.36",-,-,"3,842.10",,-,-,-,,"11,207.00",-,300.00,"5,158.00","1,070.22",120.00,-,102.37,-,"84,769.51"
10,"Arnold,Mel",Active,North Okanagan—Shuswap,"16,734km²","107,712","46,671.80",475.00,,"2,256.74",-,-,-,-,-,"8,086.90",-,-,249.50,,-,-,-,,"10,451.76",331.44,-,104.45,"1,036.96",-,83.60,"1,292.06",-,"71,040.21"
11,"Arseneault,René",Active,Madawaska—Restigouche,"11,962km²","50,828","43,196.03",-,,"2,071.48",-,-,284.34,-,786.43,"6,520.00",-,-,"5,119.00",,-,-,-,,"10,465.60",-,-,"4,020.00",666.21,360.81,-,"2,253.60",-,"75,743.50"
12,"Arya,Chandra",Active,Nepean,179km²,"93,734","42,975.04",438.75,,"2,311.52",-,-,-,142.64,-,-,-,-,511.96,,"9,961.17",-,30.04,,"22,293.21",-,-,-,778.01,360.81,-,66.00,-,"79,869.15"
13,"Ashton,Niki",Active,Churchill—Keewatinook Aski,"494,701km²","51,482","64,342.32",-,,"2,854.02","6,804.48","5,113.84",-,-,-,"2,908.78",53.36,-,826.66,,-,-,-,,"7,620.06",-,-,-,719.41,-,11.46,194.83,-,"91,449.22"
14,"Atwin,Jenica",Active,Fredericton,"1,678km²","66,606","53,407.49",632.35,,-,-,-,-,-,-,"5,000.00",-,-,30.00,,-,-,-,,-,-,"2,400.00",151.67,600.95,-,-,717.43,-,"62,939.89"
15,"Bachrach,Taylor",Active,Skeena—Bulkley Valley,"327,275km²","67,474","61,409.45",20.00,,"6,007.25","1,611.93","3,223.86","2,736.82",778.35,952.94,"6,182.21",-,-,"5,380.90",,-,-,-,,"18,257.52",571.25,-,"1,639.60",867.73,-,188.13,"1,563.42",-,"111,391.36"
16,"Badawey,Vance",Active,Niagara Centre,334km²,"90,968","50,555.54","1,005.00",,796.08,-,-,-,-,271.74,"9,263.40",-,64.95,"1,828.60",,-,-,-,,"10,833.12",-,-,144.98,734.54,485.81,325.21,797.30,-,"77,106.27"
17,"Bagnell,Hon. Larry",Active,Yukon,"482,443km²","29,591","55,441.58",324.97,,"4,658.33",-,-,"1,043.29",-,-,"5,418.48",-,-,314.00,,"2,232.55",-,-,,"15,100.00",-,-,"2,798.00",814.72,360.81,-,376.20,-,"88,882.93"
18,"Bains,Hon. Navdeep",Active,Mississauga—Malton,102km²,"79,810","51,932.92",-,,-,666.04,-,-,-,-,-,-,-,-,,-,-,-,,"11,995.32",-,-,"4,220.00",379.06,360.81,-,-,-,"69,554.15"
19,"Baker,Yvan",Active,Etobicoke Centre,39km²,"92,638","44,865.46",-,,-,-,-,-,-,-,-,-,289.63,"10,806.13",,"5,325.00",-,-,,"10,496.23",234.94,-,-,654.35,360.81,597.93,"1,219.34",-,"74,849.82"
20,"Baldinelli,Tony",Active,Niagara Falls,579km²,"113,232","53,203.63",755.00,,"1,197.90",-,-,-,-,-,"9,876.00",-,-,"2,757.00",,-,-,-,,"14,182.00",719.98,-,-,210.00,169.00,-,493.10,-,"83,563.61"
21,"Barlow,John",Active,Foothills,"20,877km²","87,873","51,105.99","23,138.03",,"3,662.41",-,-,-,-,813.70,"7,350.00",-,-,"1,836.83",,-,-,-,,"10,480.91",-,-,"2,072.00",641.68,-,-,21.98,-,"101,123.53"
22,"Barrett,Michael",Active,Leeds—Grenville—Thousand Islands and Rideau Lakes,"3,751km²","84,998","57,279.21","3,919.28",,668.16,-,-,-,-,-,-,39.99,-,728.00,,-,"7,233.11",-,,"8,400.00",405.60,-,"2,267.32","1,082.44",-,430.35,"3,089.34",69.10,"85,611.90"
23,"Barsalou-Duval,Xavier",Active,Pierre-Boucher—Les Patriotes—Verchères,688km²,"81,078","41,248.90","1,344.06",,741.60,-,-,-,-,"1,512.36","5,400.00",-,509.38,"4,395.72",,-,"4,552.58",-,,"12,063.48",-,81.29,-,"1,003.86",-,301.03,264.13,-,"73,418.39"
24,"Battiste,Jaime",Active,Sydney—Victoria,"5,085km²","60,322","46,463.32","1,570.20",,340.36,-,-,327.44,134.28,193.16,-,-,-,"4,372.50",,-,-,-,,"7,198.16",-,-,-,774.98,360.82,-,-,-,"61,735.22"
25,"Beaulieu,Mario",Active,La Pointe-de-l'Île,43km²,"85,843","35,849.02","4,590.00",,-,-,-,"1,131.80",-,-,"6,400.00",70.45,522.18,"6,387.50",,-,-,-,,"10,600.00",-,-,"2,626.95",514.62,-,361.94,"1,234.51",-,"70,288.97"
26,"Beech,Terry",Active,Burnaby North—Seymour,115km²,"77,969","47,895.58",318.42,,"2,256.74","1,128.37",-,-,-,-,"3,050.00",-,34.98,"9,995.95",,-,"5,353.00",-,,"12,917.23",-,88.81,40.00,480.07,360.82,-,80.50,-,"84,000.47"
27,"Bendayan,Rachel",Active,Outremont,12km²,"67,842","39,213.31",830.00,,364.74,-,-,-,-,68.22,"3,050.00",-,-,"1,973.45",,-,-,-,,"17,510.64",-,-,-,"1,076.30",360.82,-,-,-,"64,447.48"
28,"Bennett,Hon. Carolyn",Active,Toronto—St. Paul's,14km²,"85,544","42,142.88","3,471.57",,-,-,-,-,-,-,"3,050.00",-,-,-,,"5,910.25",-,-,,"20,126.24",-,-,-,543.25,360.82,-,-,-,"75,605.01"
29,"Benzen,Bob",Active,Calgary Heritage,70km²,"82,059","49,107.59",-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,,"26,024.04",-,-,"1,436.06",832.41,-,-,791.10,-,"78,191.20"
30,"Bergen,Hon. Candice",Active,Portage—Lisgar,"12,665km²","67,397","45,416.97",664.80,,"2,640.37","4,389.10",-,62.98,133.54,"1,857.63","3,379.97",762.04,-,"3,994.37",,-,-,-,,"14,145.36",99.98,-,"2,066.79",741.63,338.00,-,418.05,-,"81,111.58"
